L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   4, 9.27912458666013E-01,-5.04430514860726E+00,-2.08118477384780E+00,-4.64775558548486E-17,-4.72838525941452E+00,-1.85582491733203E+00,-1.85582491733203E+00, 8.68747173723905E-01
   4, 9.78464473789263E-01,-5.17053673060174E+00,-2.14098891659472E+00,-5.44120961074588E-17,-4.79813704201042E+00,-1.95692894757853E+00,-1.95692894757853E+00, 8.54955043788988E-01
   4, 1.00000000000000E+00,-5.22625185950551E+00,-2.16478440058479E+00,-4.96011051280454E-17,-4.82842712474619E+00,-2.00000000000000E+00,-2.00000000000000E+00, 8.49088294607003E-01
   4, 1.03620543362764E+00,-5.32239847526557E+00,-2.20263970756948E+00,-1.21736130049388E-16,-4.88008451312071E+00,-2.07241086725527E+00,-2.07241086725527E+00, 8.39281726980871E-01
   4, 1.10514650599932E+00,-5.51351684883184E+00,-2.26775500290653E+00,-3.83565744378673E-17,-4.98083800279217E+00,-2.21029301199865E+00,-2.21029301199864E+00,-8.20961428488025E-01
   4, 1.19119050350306E+00,-5.76530495322889E+00,-2.33756622290114E+00,-3.92812375509609E-17,-5.11058503541431E+00,-2.38238100700611E+00,-2.38238100700611E+00, 7.99090697837551E-01
   4, 1.30344703838640E+00,-6.11254340194406E+00,-2.41255053198945E+00,-1.18589769947036E-16,-5.28571099269444E+00,-2.60689407677280E+00,-2.60689407677280E+00, 7.72732901678543E-01
   4, 1.45653857938074E+00,-6.61324683387909E+00,-2.49179462351523E+00,-3.41757308261224E-17,-5.53355607467857E+00,-2.91307715876147E+00,-2.91307715876147E+00, 7.41223460777252E-01
   4, 1.67478104814623E+00,-7.36625405454481E+00,-2.57226867795309E+00,-8.28875443925147E-17,-5.90122624785068E+00,-3.34956209629246E+00,-3.34956209629245E+00,-7.04743136322443E-01
   4, 2.00000000000000E+00,-8.54311682027943E+00,-2.64861378744782E+00,-2.65489660930739E-17,-6.47213595499958E+00,-4.00000000000000E+00,-4.00000000000000E+00, 6.64962584006525E-01
   5, 0.00000000000000E+00,-5.00000000000000E+00,-1.00000000000000E+00,-1.00000000000000E+00,-5.00000000000000E+00,-1.00000000000000E+00,-1.00000000000000E+00, 1.00000000000000E+00
   5, 2.18242468765491E-01,-5.05984952019640E+00,-1.72636835379607E+00,-1.21824246876549E+00,-5.05958364248241E+00,-1.58531112634525E+00,-1.58531112634525E+00, 9.93918426554308E-01
   5, 3.71334009759827E-01,-5.17572430617548E+00,-2.24435493925052E+00,-1.37133400975983E+00,-5.17206855322875E+00,-2.00854465419041E+00,-2.00854465419041E+00, 9.81631858270943E-01
   5, 4.83590544643172E-01,-5.30338126637246E+00,-2.61594716821101E+00,-1.48359054464317E+00,-5.29024901783063E+00,-2.32353825735833E+00,-2.32353825735833E+00, 9.67350026929826E-01
   5, 5.69634542146905E-01,-5.42858107683692E+00,-2.88993431528151E+00,-1.56963454214691E+00,-5.40004939088550E+00,-2.56708116350088E+00,-2.56708116350088E+00, 9.52652668073976E-01
   5, 6.38575614518591E-01,-5.54767177710053E+00,-3.09967907521643E+00,-1.63857561451859E+00,-5.49924917325457E+00,-2.76332575757690E+00,-2.76332575757690E+00, 9.38160332259909E-01
   5, 6.96316574356964E-01,-5.66111890300873E+00,-3.26715018981382E+00,-1.69631657435696E+00,-5.58950965768530E+00,-2.92835658398783E+00,-2.92835658398783E+00, 9.24036455045677E-01
