L,mL,theta
3,1.0368901918771836,0.282565130260521
3,1.0372802887755612,0.28456913827655306
3,1.03784565133517,0.2865731462925851
3,1.0383039909626142,0.2885771543086172
3,1.0389620484033768,0.29058116232464926
3,1.0394872494878546,0.2925851703406813
3,1.040236796174119,0.2945891783567134
3,1.0408273279871159,0.29659318637274545
3,1.0416669408105868,0.2985971943887775
3,1.042321127439587,0.3006012024048096
3,1.043249168391384,0.30260521042084165
3,1.0439651933345235,0.3046092184368737
3,1.0449798125895626,0.3066132264529058
3,1.0457557236600254,0.30861723446893785
3,1.046854863168218,0.3106212424849699
3,1.047688577695413,0.312625250501002
3,1.048869975272936,0.31462925851703405
3,1.049759285586976,0.3166332665330661
3,1.051020479499717,0.3186372745490982
3,1.0519630586847641,0.32064128256513025
3,1.0533013927148434,0.3226452905811623
