L,g,h,PBC,long_mag,E_0,E_1,E_2,tran_mag,broken_mag
3,0.2777777777777778,0.0379269019073225,True,0.988073173119167,-3.17104631531853,-2.94520032629424,0.509038056780234,-0.139093013781679,0.990451967926337
3,0.2777777777777778,0.05455594781168517,True,0.989470269986743,-3.22037883623498,-2.89591728113001,0.507600363577371,-0.137348474328908,0.990662884843733
3,0.2777777777777778,0.07847599703514611,True,0.990296136008806,-3.29141690390697,-2.8249817779341,0.504637895585496,-0.135311274311723,0.990919013124528
3,0.2777777777777778,0.11288378916846883,True,0.990898400191515,-3.39367253101719,-2.72293920047236,0.498559885189916,-0.132757064814499,0.991245424231332
3,0.2777777777777778,0.1623776739188721,True,0.991459366140938,-3.54084668495469,-2.57620948383221,0.486196845315831,-0.129434666422708,0.99166864432644
3,0.2777777777777778,0.23357214690901212,True,0.99207893459013,-3.75267448815358,-2.36531725439113,0.461462276369941,-0.125068030062873,0.992214184966932
3,0.2777777777777778,0.3359818286283781,True,0.992810781786491,-4.05758590062314,-2.06241518684475,0.413423552720337,-0.119376080603376,0.992901114602313
3,0.2777777777777778,0.4832930238571752,True,0.993674039337307,-4.4965398270524,-1.62799066341524,0.324493635647029,-0.112118010846964,0.993733492957915
3,0.2777777777777778,0.6951927961775606,True,0.994653595809626,-5.12854277692065,-1.00784903868896,0.171180116613347,-0.103165987641332,0.994690512842666
3,0.2777777777777778,1.0,True,0.995699358533074,-6.03858023931953,-0.221848548840913,-0.0378634273483003,-0.0925925199248667,0.995720288408264
3,0.35555555555555557,0.001,True,0.176452528525122,-3.11179984437873,-3.07890582104316,0.400421152923783,-0.222920391490407,0.978914789311676
3,0.35555555555555557,0.0014384498882876629,True,0.249561504979821,-3.1120804296691,-3.07862529479334,0.400420364637758,-0.222172883137124,0.979003179305437
3,0.35555555555555557,0.00206913808111479,True,0.347232601681606,-3.11264655338406,-3.0780592932416,0.400418733568293,-0.220737619144927,0.979172946060896
3,0.35555555555555557,0.002976351441631319,True,0.469199470188498,-3.11376275814985,-3.07694334124916,0.400415358673924,-0.218163071286764,0.979477662425352
3,0.35555555555555557,0.004281332398719396,True,0.605304952998992,-3.11588055640482,-3.0748260660205,0.400408375609574,-0.214037144578149,0.979966622289276
3,0.35555555555555557,0.006158482110660267,True,0.734616040498931,-3.119684266654,-3.07102343799927,0.400393926933971,-0.208400433118624,0.980636352016103
3,0.35555555555555557,0.008858667904100823,True,0.836399401927073,-3.12609527759736,-3.0646146663962,0.400364031694052,-0.201988468903927,0.981402126192654
3,0.35555555555555557,0.012742749857031334,True,0.903626724046536,-3.13628851818515,-3.05442605957481,0.400302178873591,-0.195797156546506,0.982149024990487
3,0.35555555555555557,0.018329807108324356,True,0.942566256672414,-3.15181257181018,-3.03891159497487,0.400174216359607,-0.190439179943467,0.982807712253714
3,0.35555555555555557,0.026366508987303583,True,0.963367062269667,-3.17483086429544,-3.01591314831475,0.399909527735058,-0.185997607438019,0.983371922907556
3,0.35555555555555557,0.0379269019073225,True,0.974051393132129,-3.2084585891091,-2.98232650785846,0.399362207391023,-0.182238619646756,0.983873745538754
3,0.35555555555555557,0.05455594781168517,True,0.97952358106028,-3.25721070455664,-2.93365949000742,0.398231250241043,-0.178812500762202,0.984360143050728
3,0.35555555555555557,0.07847599703514611,True,0.982452402911148,-3.32762291072513,-2.86342374246743,0.395897633529141,-0.175342972676877,0.984882268493731
3,0.35555555555555557,0.11288378916846883,True,0.984219816427253,-3.42913786922439,-2.7622755416531,0.39109653093851,-0.171446789324519,0.985492317864315
3,0.35555555555555557,0.1623776739188721,True,0.985532742058716,-3.57538262598724,-2.6167968046907,0.381277336431111,-0.166730222736788,0.986241918731476
3,0.35555555555555557,0.23357214690901212,True,0.986754999424306,-3.78601402968425,-2.407782157934,0.361430212618325,-0.160789955564196,0.98717821544715
3,0.35555555555555557,0.3359818286283781,True,0.988070358408373,-4.08938432992167,-2.10790444550551,0.322208133215543,-0.15323515291091,0.988335407109233
3,0.35555555555555557,0.4832930238571752,True,0.989554335517243,-4.52638694758435,-1.67888515902387,0.247828679867257,-0.143741614754348,0.98972140621062
3,0.35555555555555557,0.6951927961775606,True,0.991201589471236,-5.15599393289087,-1.07099462431679,0.117699721332591,-0.132139544108602,0.991302745360206
3,0.35555555555555557,1.0,True,0.992938989132905,-6.06320982227165,-0.342443099240157,-0.0613292387786272,-0.118518113637389,0.992995588943287
3,0.43333333333333335,0.001,True,0.0989428886947119,-3.17065736072914,-3.11297518848999,0.303841298154769,-0.28182572635884,0.967331181299427
3,0.43333333333333335,0.0014384498882876629,True,0.141548203713192,-3.17081560228308,-3.11281703867729,0.303840658862901,-0.281468992933808,0.967382513579279
3,0.43333333333333335,0.00206913808111479,True,0.201356649625095,-3.17114031617464,-3.11249251461134,0.303839336081784,-0.280748812480314,0.96748615930256
3,0.43333333333333335,0.002976351441631319,True,0.283262788341975,-3.171801036974,-3.11183218658872,0.303836599073714,-0.27933069404275,0.967690310982184
3,0.43333333333333335,0.004281332398719396,True,0.390252069182815,-3.17312394042037,-3.11051009585739,0.303830935863357,-0.276667862074708,0.968073887206811
3,0.43333333333333335,0.006158482110660267,True,0.518740324036366,-3.17569768650693,-3.107938031415,0.303819218058714,-0.272071227109757,0.968736855374547
3,0.43333333333333335,0.008858667904100823,True,0.653888034182233,-3.18048323502845,-3.10315596255256,0.30379497298603,-0.265114759500966,0.969742719475557
3,0.43333333333333335,0.012742749857031334,True,0.773128054056474,-3.18886505704629,-3.09478134087976,0.303744809507348,-0.256247511629466,0.971031326621183
3,0.43333333333333335,0.018329807108324356,True,0.860326993815129,-3.20264753469856,-3.08101376366234,0.303641026861918,-0.246781677921884,0.972420411643326
3,0.43333333333333335,0.026366508987303583,True,0.914708616057045,-3.22414369066198,-3.05954844700894,0.303426339815767,-0.237985503959503,0.973734919446088
3,0.43333333333333335,0.0379269019073225,True,0.945147223337275,-3.25648042345093,-3.02727556037871,0.302982351892453,-0.230382611972613,0.97490725163401
3,0.43333333333333335,0.05455594781168517,True,0.961252447409232,-3.30410005509126,-2.97978818698687,0.302064659486341,-0.223820768759178,0.975967823440032
3,0.43333333333333335,0.07847599703514611,True,0.969713364456378,-3.37343299518734,-2.91072955982001,0.300170009764796,-0.217814817674469,0.976996010478078
3,0.43333333333333335,0.11288378916846883,True,0.974403052402077,-3.47380807064383,-2.81092489318532,0.296267513739645,-0.211774041247394,0.978086481804134
3,0.43333333333333335,0.1623776739188721,True,0.977387243200409,-3.6187368051103,-2.6671886984303,0.288267948422723,-0.205091428856543,0.979333391065036
3,0.43333333333333335,0.23357214690901212,True,0.979730080902891,-3.82776121845044,-2.4606864753921,0.272030000230089,-0.197174306231465,0.980820274197675
3,0.43333333333333335,0.3359818286283781,True,0.981963262663707,-4.12912525391631,-2.16479540955427,0.239717033049739,-0.187475555781725,0.982606932248856
3,0.43333333333333335,0.4832930238571752,True,0.984322398290869,-4.56363403507756,-1.74292168302871,0.17799142572148,-0.175555511117273,0.984710570944013
3,0.43333333333333335,0.6951927961775606,True,0.986856593234882,-5.19021318534434,-1.15141582431875,0.0717850435709805,-0.161181095352512,0.987085162992402
3,0.43333333333333335,1.0,True,0.989484127753209,-6.093888627421,-0.477217738812992,-0.0898521816181215,-0.144442848101602,0.989610090271549
3,0.5111111111111111,0.001,True,0.0607745440206209,-3.24339572063401,-3.15138723621581,0.221081758201737,-0.341709798906087,0.95320972866877
3,0.5111111111111111,0.0014384498882876629,True,0.087236757131217,-3.2434930823138,-3.15129000693397,0.221081236449952,-0.341522586281056,0.953241443262033
3,0.5111111111111111,0.00206913808111479,True,0.124942216748552,-3.24369388788702,-3.15108947531086,0.221080156875019,-0.341138890416979,0.953306447969747
3,0.5111111111111111,0.002976351441631319,True,0.178137264430489,-3.24410664530397,-3.15067728473656,0.221077923092096,-0.340360300208106,0.953438375723359
