L,g,h,long_mag
9,0.5,0.016036509553917645,0.965457819032938
9,0.5,0.021933884439777857,0.965736782600774
9,0.5,0.029999999999999995,0.966109228086795
9,0.6000000000000001,-0.029999999999999995,-0.94834987441949
9,0.6000000000000001,-0.021933884439777857,-0.94766270103376
9,0.6000000000000001,-0.016036509553917645,-0.947126094884389
9,0.6000000000000001,-0.011724764912434108,-0.946688914737085
9,0.6000000000000001,-0.008572321289096402,-0.946296289229635
9,0.6000000000000001,-0.006267476817856269,-0.945878881193194
9,0.6000000000000001,-0.004582337075061536,-0.945333541677982
9,0.6000000000000001,-0.003350281728950314,-0.944488449502162
9,0.6000000000000001,-0.0024494897427831787,-0.943040142798494
9,0.6000000000000001,-0.001790894165154248,-0.940440768169767
9,0.6000000000000001,-0.0013093755220788574,-0.935701754688918
9,0.6000000000000001,-0.0009573230463183821,-0.927072669190789
9,0.6000000000000001,-0.0006999271023161168,-0.911583902026863
9,0.6000000000000001,-0.0005117373392823427,-0.884601306228684
9,0.6000000000000001,-0.00037414625544461,-0.839977400367607
9,0.6000000000000001,-0.00027354935768325616,-0.771968695084285
9,0.6000000000000001,-0.00020000000000000004,-0.679508937074692
9,0.6000000000000001,0.00020000000000000004,0.679508937072188
9,0.6000000000000001,0.00027354935768325616,0.771968695085334
9,0.6000000000000001,0.00037414625544461,0.839977400367708
9,0.6000000000000001,0.0005117373392823427,0.884601306229205
9,0.6000000000000001,0.0006999271023161168,0.911583902026865
9,0.6000000000000001,0.0009573230463183821,0.927072669190785
9,0.6000000000000001,0.0013093755220788574,0.93570175468892
9,0.6000000000000001,0.001790894165154248,0.940440768169751
9,0.6000000000000001,0.0024494897427831787,0.943040142798494
9,0.6000000000000001,0.003350281728950314,0.94448844950216
9,0.6000000000000001,0.004582337075061536,0.945333541677979
9,0.6000000000000001,0.006267476817856269,0.945878881193195
9,0.6000000000000001,0.008572321289096402,0.946296289229634
9,0.6000000000000001,0.011724764912434108,0.946688914737086
9,0.6000000000000001,0.016036509553917645,0.947126094884389
9,0.6000000000000001,0.021933884439777857,0.947662701033762
9,0.6000000000000001,0.029999999999999995,0.948349874419495
9,0.7000000000000001,-0.029999999999999995,-0.924080208323814
9,0.7000000000000001,-0.021933884439777857,-0.922619433274694
9,0.7000000000000001,-0.016036509553917645,-0.921242775874548
9,0.7000000000000001,-0.011724764912434108,-0.919710093863551
9,0.7000000000000001,-0.008572321289096402,-0.917639077070174
9,0.7000000000000001,-0.006267476817856269,-0.914379988028612
9,0.7000000000000001,-0.004582337075061536,-0.908798571839742
9,0.7000000000000001,-0.003350281728950314,-0.898929097662785
9,0.7000000000000001,-0.0024494897427831787,-0.881507687803691
9,0.7000000000000001,-0.001790894165154248,-0.851603519332286
9,0.7000000000000001,-0.0013093755220788574,-0.80306252024097
9,0.7000000000000001,-0.0009573230463183821,-0.730950701620554
9,0.7000000000000001,-0.0006999271023161168,-0.636016849282249
9,0.7000000000000001,-0.0005117373392823427,-0.527395097029108
9,0.7000000000000001,-0.00037414625544461,-0.418989587408693
9,0.7000000000000001,-0.00027354935768325616,-0.322298852192681
9,0.7000000000000001,-0.00020000000000000004,-0.242680510409386
9,0.7000000000000001,0.00020000000000000004,0.242680510409455
9,0.7000000000000001,0.00027354935768325616,0.322298852193251
9,0.7000000000000001,0.00037414625544461,0.418989587406333
9,0.7000000000000001,0.0005117373392823427,0.527395097028953
9,0.7000000000000001,0.0006999271023161168,0.636016849281104
9,0.7000000000000001,0.0009573230463183821,0.730950701620771
9,0.7000000000000001,0.0013093755220788574,0.803062520240822
9,0.7000000000000001,0.001790894165154248,0.851603519332464
9,0.7000000000000001,0.0024494897427831787,0.881507687803609
9,0.7000000000000001,0.003350281728950314,0.898929097662748
9,0.7000000000000001,0.004582337075061536,0.908798571839747
9,0.7000000000000001,0.006267476817856269,0.914379988028607
9,0.7000000000000001,0.008572321289096402,0.917639077070173
9,0.7000000000000001,0.011724764912434108,0.919710093863551
9,0.7000000000000001,0.016036509553917645,0.921242775874542
9,0.7000000000000001,0.021933884439777857,0.922619433274692
9,0.7000000000000001,0.029999999999999995,0.924080208323813
9,0.8,-0.029999999999999995,-0.889059565507321
9,0.8,-0.021933884439777857,-0.884661846631429
9,0.8,-0.016036509553917645,-0.878969983126384
9,0.8,-0.011724764912434108,-0.870413219309092
9,0.8,-0.008572321289096402,-0.856375211910203
9,0.8,-0.006267476817856269,-0.83275582575689
9,0.8,-0.004582337075061536,-0.793946749271649
9,0.8,-0.003350281728950314,-0.734239409582716
9,0.8,-0.0024494897427831787,-0.65148852618239
9,0.8,-0.001790894165154248,-0.551082873629066
9,0.8,-0.0013093755220788574,-0.445226528116445
9,0.8,-0.0009573230463183821,-0.346649607707211
9,0.8,-0.0006999271023161168,-0.26304656301462
9,0.8,-0.0005117373392823427,-0.196416779266135
9,0.8,-0.00037414625544461,-0.145287437846614
9,0.8,-0.00027354935768325616,-0.1068990225633
9,0.8,-0.00020000000000000004,-0.0784247642053124
9,0.8,0.00020000000000000004,0.078424764205234
9,0.8,0.00027354935768325616,0.106899022564104
9,0.8,0.00037414625544461,0.145287437845908
9,0.8,0.0005117373392823427,0.196416779264032
9,0.8,0.0006999271023161168,0.263046563014658
9,0.8,0.0009573230463183821,0.346649607706816
9,0.8,0.0013093755220788574,0.445226528116765
9,0.8,0.001790894165154248,0.551082873629464
9,0.8,0.0024494897427831787,0.651488526182799
9,0.8,0.003350281728950314,0.734239409582842
9,0.8,0.004582337075061536,0.793946749271516
9,0.8,0.006267476817856269,0.832755825757049
9,0.8,0.008572321289096402,0.856375211910212
9,0.8,0.011724764912434108,0.870413219309067
9,0.8,0.016036509553917645,0.878969983126393
9,0.8,0.021933884439777857,0.884661846631424
9,0.8,0.029999999999999995,0.889059565507321
9,0.9,-0.029999999999999995,-0.831883827708493
9,0.9,-0.021933884439777857,-0.815335554974095
9,0.9,-0.016036509553917645,-0.790306387638813
9,0.9,-0.011724764912434108,-0.751404619588725
9,0.9,-0.008572321289096402,-0.693198357452786
9,0.9,-0.006267476817856269,-0.613719159843616
9,0.9,-0.004582337075061536,-0.518151494849342
9,0.9,-0.003350281728950314,-0.418002962432693
9,0.9,-0.0024494897427831787,-0.325119327270763
9,0.9,-0.001790894165154248,-0.246548796829386
9,0.9,-0.0013093755220788574,-0.184027442083904
9,0.9,-0.0009573230463183821,-0.136093723950259
9,0.9,-0.0006999271023161168,-0.100122564071567
9,0.9,-0.0005117373392823427,-0.0734485608341533
9,0.9,-0.00037414625544461,-0.0537973022983703
9,0.9,-0.00027354935768325616,-0.0393708207305087
9,0.9,-0.00020000000000000004,-0.0288000629201454
9,0.9,0.00020000000000000004,0.0288000629203942
9,0.9,0.00027354935768325616,0.0393708207306687
