L,g,h,E_ground,long_mag,trans_mag
15,0.15,0.006842105263157894,-14.1980003934476,0.988843107864218,0.99704579473039
15,0.15,0.007894736842105262,-14.2137275402668,0.988866975851322,0.997049685956835
15,0.15,0.00894736842105263,-14.2294547806133,0.988890764150728,0.997053565166658
15,0.15,0.01,-14.2451821142345,0.988914473145507,0.997057432441578
15,0.25,-0.01,-14.4151158374129,-0.968916606669876,-0.991032547556763
15,0.25,-0.008947368421052631,-14.3995029744386,-0.96884712526114,-0.991016795060588
15,0.25,-0.007894736842105263,-14.3838903966745,-0.968777382949883,-0.99100096683676
15,0.25,-0.006842105263157895,-14.3682781050488,-0.968707378149043,-0.990985062172248
15,0.25,-0.005789473684210527,-14.3526661004956,-0.968637109255985,-0.990969080344098
15,0.25,-0.004736842105263158,-14.3370543839543,-0.968566574652221,-0.990953020619242
15,0.25,-0.00368421052631579,-14.3214429563711,-0.968495772703174,-0.990936882254381
15,0.25,-0.0026315789473684214,-14.3058318186978,-0.968424701757902,-0.990920664495658
15,0.25,-0.001578947368421053,-14.2902209718922,-0.968353360148958,-0.990904366578539
15,0.25,-0.0005263157894736855,-14.2746104169189,-0.968281746191927,-0.990887987727598
15,0.25,0.0005263157894736838,-14.2746104169189,0.968281746191932,0.990887987727573
15,0.25,0.001578947368421053,-14.2902209718923,0.968353360148966,0.990904366578517
15,0.25,0.0026315789473684206,-14.3058318186978,0.968424701757935,0.990920664495647
15,0.25,0.003684210526315788,-14.321442956371,0.968495772703183,0.990936882254372
15,0.25,0.004736842105263157,-14.3370543839543,0.968566574652237,0.99095302061924
15,0.25,0.005789473684210527,-14.3526661004955,0.968637109255997,0.990969080344071
15,0.25,0.006842105263157894,-14.3682781050489,0.968707378149056,0.990985062172229
15,0.25,0.007894736842105262,-14.3838903966746,0.968777382949893,0.991000966836752
15,0.25,0.00894736842105263,-14.3995029744386,0.968847125261155,0.991016795060584
15,0.25,0.01,-14.415115837413,0.968916606669888,0.991032547556761
15,0.35,-0.01,-14.6718036137758,-0.938184048362148,-0.980023028820185
15,0.35,-0.008947368421052631,-14.6563729894114,-0.938035938917639,-0.979975680006093
15,0.35,-0.007894736842105263,-14.6409430157037,-0.937887167087049,-0.979928020261432
15,0.35,-0.006842105263157895,-14.6255136954188,-0.937737727404322,-0.979880045872225
15,0.35,-0.005789473684210527,-14.6100850313488,-0.937587614324195,-0.979831753058131
15,0.35,-0.004736842105263158,-14.5946570263123,-0.937436822220431,-0.979783137970671
15,0.35,-0.00368421052631579,-14.5792296831542,-0.937285345383857,-0.97973419669141
15,0.35,-0.0026315789473684214,-14.563803004747,-0.937133178019778,-0.979684925229626
15,0.35,-0.001578947368421053,-14.548376993991,-0.93698031424264,-0.979635319516833
15,0.35,-0.0005263157894736855,-14.5329516538143,-0.936826747985689,-0.979585375312469
15,0.35,0.0005263157894736838,-14.5329516538143,0.936826747985683,0.979585375312458
15,0.35,0.001578947368421053,-14.548376993991,0.936980314242652,0.979635319516822
15,0.35,0.0026315789473684206,-14.5638030047471,0.937133178019768,0.979684925229619
15,0.35,0.003684210526315788,-14.5792296831543,0.937285345383861,0.979734196691408
15,0.35,0.004736842105263157,-14.5946570263123,0.937436822220439,0.979783137970656
15,0.35,0.005789473684210527,-14.6100850313488,0.937587614324183,0.979831753058116
15,0.35,0.006842105263157894,-14.6255136954187,0.937737727404307,0.979880045872217
15,0.35,0.007894736842105262,-14.6409430157037,0.937887167087047,0.979928020261426
15,0.35,0.00894736842105263,-14.6563729894114,0.938035938917636,0.979975680006096
15,0.35,0.01,-14.6718036137757,0.93818404836214,0.98002302882017
15,0.44999999999999996,-0.01,-15.0175582301612,-0.895714596591788,-0.961457345667638
15,0.44999999999999996,-0.008947368421052631,-15.0023932919829,-0.895438706423651,-0.96133622291948
15,0.44999999999999996,-0.007894736842105263,-14.9872296921348,-0.895161252122621,-0.961214064720594
15,0.44999999999999996,-0.006842105263157895,-14.9720674386489,-0.894882215137739,-0.961090855001487
15,0.44999999999999996,-0.005789473684210527,-14.956906539673,-0.894601576479561,-0.960966577262829
15,0.44999999999999996,-0.004736842105263158,-14.9417470034746,-0.89431931665134,-0.960841214502311
15,0.44999999999999996,-0.00368421052631579,-14.9265888384473,-0.894035415455897,-0.960714749007813
15,0.44999999999999996,-0.0026315789473684214,-14.9114320531224,-0.893749851216208,-0.960587161520143
15,0.44999999999999996,-0.001578947368421053,-14.8962766562204,-0.893462595458012,-0.960458425516322
15,0.44999999999999996,-0.0005263157894736855,-14.8811226572662,-0.893173477371454,-0.960328361467415
15,0.44999999999999996,0.0005263157894736838,-14.8811226572663,0.893173477371457,0.96032836146742
15,0.44999999999999996,0.001578947368421053,-14.8962766562203,0.893462595458013,0.960458425516312
15,0.44999999999999996,0.0026315789473684206,-14.9114320531224,0.893749851216197,0.960587161520151
15,0.44999999999999996,0.003684210526315788,-14.9265888384472,0.894035415455903,0.960714749007818
15,0.44999999999999996,0.004736842105263157,-14.9417470034747,0.894319316651346,0.960841214502315
15,0.44999999999999996,0.005789473684210527,-14.956906539673,0.894601576479567,0.960966577262836
15,0.44999999999999996,0.006842105263157894,-14.9720674386488,0.894882215137731,0.961090855001485
15,0.44999999999999996,0.007894736842105262,-14.9872296921348,0.895161252122607,0.96121406472059
15,0.44999999999999996,0.00894736842105263,-15.002393291983,0.895438706423649,0.961336222919478
15,0.44999999999999996,0.01,-15.0175582301611,0.895714596591777,0.96145734566762
15,0.5499999999999999,-0.01,-15.4557875704367,-0.8399315961994,-0.931495809842449
15,0.5499999999999999,-0.008947368421052631,-15.4409996004994,-0.839446388107273,-0.931214117531666
15,0.5499999999999999,-0.007894736842105263,-15.4262143389425,-0.83895742666397,-0.930929246696583
15,0.5499999999999999,-0.006842105263157895,-15.4114318109275,-0.838464633403632,-0.930641117224602
15,0.5499999999999999,-0.005789473684210527,-15.3966520424725,-0.837967916026418,-0.930349633727705
15,0.5499999999999999,-0.004736842105263158,-15.3818750608039,-0.837467151226422,-0.930054666450764
15,0.5499999999999999,-0.00368421052631579,-15.3671008952773,-0.836962129133756,-0.929755989495597
15,0.5499999999999999,-0.0026315789473684214,-15.3523295804445,-0.836452316090901,-0.929453017036646
15,0.5499999999999999,-0.001578947368421053,-15.3375611713009,-0.835935209921466,-0.929142974418269
15,0.5499999999999999,-0.0005263157894736855,-15.3227959411352,-0.835364303124794,-0.928774154113796
15,0.5499999999999999,0.0005263157894736838,-15.3227959411353,0.835364303124787,0.928774154113782
15,0.5499999999999999,0.001578947368421053,-15.3375611713008,0.835935209921459,0.929142974418261
15,0.5499999999999999,0.0026315789473684206,-15.3523295804445,0.836452316090896,0.929453017036645
15,0.5499999999999999,0.003684210526315788,-15.3671008952773,0.836962129133764,0.929755989495589
15,0.5499999999999999,0.004736842105263157,-15.3818750608041,0.837467151226429,0.930054666450779
15,0.5499999999999999,0.005789473684210527,-15.3966520424724,0.83796791602642,0.930349633727711
15,0.5499999999999999,0.006842105263157894,-15.4114318109276,0.838464633403635,0.930641117224606
15,0.5499999999999999,0.007894736842105262,-15.4262143389426,0.838957426663962,0.930929246696586
15,0.5499999999999999,0.00894736842105263,-15.4409996004994,0.839446388107276,0.931214117531664
15,0.5499999999999999,0.01,-15.4557875704366,0.839931596199391,0.931495809842444
15,0.65,-0.01,-15.9913828656935,-0.768361807779202,-0.88448844293623
15,0.65,-0.008947368421052631,-15.977135067408,-0.767513388031391,-0.883860275711676
15,0.65,-0.007894736842105263,-15.9628930960929,-0.766653620801091,-0.883220434432327
15,0.65,-0.006842105263157895,-15.9486570815368,-0.765781044357765,-0.882567242919283
15,0.65,-0.005789473684210527,-15.9344271884408,-0.764893006305626,-0.881897649384216
15,0.65,-0.004736842105263158,-15.9202036519072,-0.763983935397452,-0.881205229405011
15,0.65,-0.00368421052631579,-15.9059868734268,-0.763039728809976,-0.880473700054664
15,0.65,-0.0026315789473684214,-15.8917777466046,-0.762013764698658,-0.879649200795715
15,0.65,-0.001578947368421053,-15.8775792830851,-0.760660793488789,-0.878448343619537
15,0.65,-0.0005263157894736855,-15.8634175938567,-0.75434655029104,-0.871515936117555
15,0.65,0.0005263157894736838,-15.8634175938567,0.754346550291287,0.871515936117847
15,0.65,0.001578947368421053,-15.8775792830851,0.760660793488749,0.878448343619486
15,0.65,0.0026315789473684206,-15.8917777466047,0.762013764698645,0.879649200795714
15,0.65,0.003684210526315788,-15.9059868734269,0.763039728809965,0.880473700054679
15,0.65,0.004736842105263157,-15.9202036519072,0.763983935397458,0.881205229404998
15,0.65,0.005789473684210527,-15.9344271884408,0.764893006305632,0.881897649384217
15,0.65,0.006842105263157894,-15.9486570815368,0.765781044357763,0.882567242919294
15,0.65,0.007894736842105262,-15.9628930960929,0.766653620801081,0.883220434432326
15,0.65,0.00894736842105263,-15.977135067408,0.767513388031387,0.883860275711674
15,0.65,0.01,-15.9913828656935,0.76836180777921,0.884488442936237
15,0.75,-0.01,-16.6314437088081,-0.67661779833047,-0.811452320380948
15,0.75,-0.008947368421052631,-16.6180153713508,-0.67494236690778,-0.809887444519177
15,0.75,-0.007894736842105263,-16.6046045200032,-0.673165984436484,-0.808202812004534
15,0.75,-0.006842105263157895,-16.5912134316215,-0.67123837940417,-0.806337827735827
15,0.75,-0.005789473684210527,-16.5778458075376,-0.669061090333754,-0.804173790124004
15,0.75,-0.004736842105263158,-16.5645083226498,-0.666417711830845,-0.80144978239533
15,0.75,-0.00368421052631579,-16.5512147842509,-0.662750477335569,-0.797493278028223
15,0.75,-0.0026315789473684214,-16.5379999862669,-0.656231913576236,-0.790100749781722
15,0.75,-0.001578947368421053,-16.524985524441,-0.637802625570105,-0.768348482746576
15,0.75,-0.0005263157894736855,-16.5130249381931,-0.497935839446982,-0.600170070308847
