L,g,chi
8,0.5306122448979591,-0.1769902254522067
8,0.5714285714285714,-0.20138024419559442
8,0.6122448979591836,-0.22945119379907514
8,0.6530612244897959,-0.26188944954703103
8,0.6938775510204082,-0.29924665984974363
8,0.7346938775510203,-0.3416700018499073
8,0.7755102040816326,-0.38852375829646335
8,0.8163265306122448,-0.43799563219916793
8,0.8571428571428571,-0.4868956747473862
8,0.8979591836734693,-0.5309087556491701
8,0.9387755102040816,-0.5654247040927801
8,0.9795918367346939,-0.5867286017941373
8,1.0,-0.5917733711463625
8,1.0204081632653061,-0.5930201668463705
8,1.0612244897959182,-0.5847642584006489
8,1.1020408163265305,-0.5642747803976337
8,1.1428571428571428,-0.5348542008974321
8,1.183673469387755,-0.49993163819489483
8,1.2244897959183672,-0.4624792980437398
8,1.2653061224489794,-0.4247582541444457
8,1.3061224489795917,-0.3883068223994409
8,1.346938775510204,-0.3540553239510644
8,1.3877551020408163,-0.3224792595991589
8,1.4285714285714284,-0.2937423717522444
8,1.4693877551020407,-0.2678106910996233
8,1.510204081632653,-0.24453522714913084
8,1.5510204081632653,-0.22370802144475727
8,1.5918367346938773,-0.20509808314338435
8,1.6326530612244896,-0.18847318239854954
8,1.673469387755102,-0.1736121869477531
8,1.7142857142857142,-0.16031133534994305
8,1.7551020408163265,-0.14838676330355893
8,1.7959183673469385,-0.13767481429803619
8,1.8367346938775508,-0.1280311223975034
8,1.8775510204081631,-0.1193290737492257
8,1.9183673469387754,-0.11145801704841841
8,1.9591836734693877,-0.10432144175108118
8,2.0,-0.0978352372998067
9,0.0,-9.992007221560949e-11
9,0.04081632653061224,-0.010218979651299365
9,0.08163265306122448,-0.020527909499888773
9,0.12244897959183673,-0.03101959100117675
9,0.16326530612244897,-0.041792724353177255
9,0.2040816326530612,-0.05295537240344874
9,0.24489795918367346,-0.06462911364926009
9,0.2857142857142857,-0.0769542440487946
9,0.32653061224489793,-0.09009653639754185
9,0.36734693877551017,-0.1042562700441616
9,0.4081632653061224,-0.11968052839794051
9,0.44897959183673464,-0.1366800185467126
9,0.4897959183673469,-0.15565164829709657
9,0.5306122448979591,-0.17710708344770834
9,0.5714285714285714,-0.2017041293476238
9,0.6122448979591836,-0.2302697114971344
9,0.6530612244897959,-0.26378767204287384
9,0.6938775510204082,-0.3033007019017767
9,0.7346938775510203,-0.349651143647308
9,0.7755102040816326,-0.4029879730001152
9,0.8163265306122448,-0.4620519212986379
9,0.8571428571428571,-0.5234677168973868
9,0.8979591836734693,-0.5815555785954811
9,0.9387755102040816,-0.6292232619456851
9,0.9795918367346939,-0.6599626187499049
9,1.0,-0.6676689778951197
9,1.0204081632653061,-0.6700465629961252
9,1.0612244897959182,-0.6596318630937099
9,1.1020408163265305,-0.632209222346824
9,1.1428571428571428,-0.5929893066986002
9,1.183673469387755,-0.5472602409925761
9,1.2244897959183672,-0.49936296504743777
9,1.2653061224489794,-0.45234923554941053
9,1.3061224489795917,-0.4080810526969536
9,1.346938775510204,-0.3675100509501832
9,1.3877551020408163,-0.33097205844661803
9,1.4285714285714284,-0.2984263732944015
9,1.4693877551020407,-0.2696255961480809
9,1.510204081632653,-0.24422589149759463
9,1.5510204081632653,-0.22185362854997379
9,1.5918367346938773,-0.20214280335029944
9,1.6326530612244896,-0.1847540944443058
9,1.673469387755102,-0.16938293179891206
9,1.7142857142857142,-0.1557613165993131
9,1.7551020408163265,-0.14365634230145954
9,1.7959183673469385,-0.1328671292479999
9,1.8367346938775508,-0.12322117829896329
9,1.8775510204081631,-0.11457069285161652
9,1.9183673469387754,-0.10678911280189703
9,1.9591836734693877,-0.0997680235475099
9,2.0,-0.0934144419478242
10,0.0,-9.992007221560949e-11
10,0.04081632653061224,-0.010218979751219437
10,0.08163265306122448,-0.02052790954984881
10,0.12244897959183673,-0.031019590951216713
10,0.16326530612244897,-0.041792724353177255
10,0.2040816326530612,-0.05295537254777773
10,0.24489795918367346,-0.06462911374918016
10,0.2857142857142857,-0.07695424545322672
10,0.32653061224489793,-0.09009654945376462
10,0.36734693877551017,-0.10425636315301556
10,0.4081632653061224,-0.11968105885139944
10,0.44897959183673464,-0.13668254839526547
10,0.4897959183673469,-0.15566203474990545
10,0.5306122448979591,-0.1771445611464303
